date,state,demo_age_5_17,bio_age_5_17,age_5_17,gap_5_17
02-12-2025,Tamil Nadu,5664,23580.0,0.0,5664.0
02-12-2025,Telangana,1295,4969.0,0.0,1295.0
02-12-2025,Tripura,160,1053.0,0.0,160.0
02-12-2025,Uttar Pradesh,4630,30951.0,0.0,4630.0
02-12-2025,Uttarakhand,482,12009.0,0.0,482.0
02-12-2025,West  Bengal,0,0.0,0.0,0.0
02-12-2025,West Bangal,0,0.0,0.0,0.0
02-12-2025,West Bengal,2832,8155.0,0.0,2832.0
02-12-2025,West Bengli,0,0.0,0.0,0.0
02-12-2025,Westbengal,0,1.0,0.0,0.0
02-12-2025,andhra pradesh,0,1.0,0.0,0.0
03-09-2025,Andaman & Nicobar Islands,1,7.0,0.0,1.0
03-09-2025,Andaman and Nicobar Islands,3,79.0,1.0,2.0
03-09-2025,Andhra Pradesh,1572,6504.0,259.0,1313.0
03-09-2025,Arunachal Pradesh,133,368.0,35.0,98.0
03-09-2025,Assam,1130,3361.0,665.0,465.0
03-09-2025,Bihar,4305,8987.0,4326.0,-21.0
03-09-2025,Chandigarh,32,85.0,1.0,31.0
03-09-2025,Chhattisgarh,690,1910.0,189.0,501.0
03-09-2025,Dadra & Nagar Haveli,3,1.0,0.0,3.0
03-09-2025,Dadra and Nagar Haveli,1,11.0,0.0,1.0
03-09-2025,Dadra and Nagar Haveli and Daman and Diu,4,6.0,0.0,4.0
03-09-2025,Daman & Diu,0,0.0,0.0,0.0
03-09-2025,Daman and Diu,2,12.0,0.0,2.0
03-09-2025,Delhi,527,1537.0,146.0,381.0
03-09-2025,Goa,18,69.0,5.0,13.0
03-09-2025,Gujarat,1300,4946.0,636.0,664.0
03-09-2025,Haryana,570,3142.0,63.0,507.0
03-09-2025,Himachal Pradesh,79,210.0,1.0,78.0
03-09-2025,Jammu & Kashmir,2,0.0,0.0,2.0
03-09-2025,Jammu and Kashmir,148,646.0,57.0,91.0
03-09-2025,Jharkhand,624,753.0,309.0,315.0
03-09-2025,Karnataka,1256,3747.0,365.0,891.0
03-09-2025,Kerala,632,2771.0,319.0,313.0
03-09-2025,Ladakh,0,1.0,0.0,0.0
03-09-2025,Lakshadweep,0,2.0,0.0,0.0
03-09-2025,Madhya Pradesh,1919,8232.0,1171.0,748.0
03-09-2025,Maharashtra,1509,11976.0,916.0,593.0
03-09-2025,Manipur,163,824.0,57.0,106.0
03-09-2025,Meghalaya,75,139.0,214.0,-139.0
03-09-2025,Mizoram,39,170.0,12.0,27.0
03-09-2025,Nagaland,20,79.0,56.0,-36.0
03-09-2025,Odisha,844,4357.0,335.0,509.0
03-09-2025,Orissa,16,35.0,2.0,14.0
03-09-2025,Pondicherry,2,27.0,0.0,2.0
03-09-2025,Puducherry,14,144.0,1.0,13.0
03-09-2025,Punjab,286,2363.0,91.0,195.0
03-09-2025,Rajasthan,1797,18764.0,1145.0,652.0
03-09-2025,Sikkim,33,37.0,24.0,9.0
03-09-2025,Tamil Nadu,2322,4494.0,449.0,1873.0
03-09-2025,Telangana,880,2136.0,307.0,573.0
03-09-2025,Tripura,89,263.0,57.0,32.0
03-09-2025,Uttar Pradesh,7900,17326.0,4722.0,3178.0
